id,crop_year,district_id,variety_code,grape_type_code,brix_code,brix_value,wt_price_per_ton,tons_crushed,report_type
ce6fca38a18793aa,2000,6,91039,7,0010,,1550.0,30.8,Final
12a31e358f900647,2000,6,62594,7,1210,1.21,500.0,1.0,Final
aa4a4b13231240d2,2000,6,93146,7,0010,,1400.0,3.1,Final
6ac1f90ceb14d3b0,2000,6,38174,7,0010,,700.0,13.5,Final
d397fb142ffcf4ed,2000,6,66546,7,0010,,800.0,2.2,Final
58069ababe577df9,2000,6,45183,7,0010,,1000.0,4.8,Final
7fb693f743c1f8d8,2000,6,60317,7,0010,,1000.0,0.3,Final
9f2d51b097ac8d1f,2000,6,82076,7,0010,,1000.0,1.2,Final
95dccd8ea415c9b1,2000,6,99582,7,0570,0.57,150.0,7.8,Final
5dedd1ee680e5a4c,2000,6,91155,7,1260,1.26,1200.0,3.3,Final
f06c869d783eb4e5,2000,6,84170,7,4950,4.95,1400.0,28.5,Final
65ba416465bf0fb8,2000,6,91354,7,0010,,1000.0,2.3,Final
7bd419ed4529b8a4,2000,6,51980,7,0570,0.57,300.0,10.5,Final
d81b61dd1a711a26,2000,6,79539,7,0010,,823.0,5.1,Final
9f722462d10f47b7,2000,6,23534,7,0010,,1550.0,31.0,Final
bc137bbcf769c565,2000,6,19484,7,0010,,1550.0,3.0,Final
22d3a5393c16fe7e,2000,6,89075,7,0010,,800.0,6.8,Final
680aef27b0f3f7d5,2000,6,32683,7,1240,1.24,800.0,1.1,Final
cbba2f9a5fb03443,2000,6,92789,7,4950,4.95,1550.0,7.0,Final
8109c48437ec8837,2000,6,96341,6,0010,,800.0,21.4,Final
263949d0ca054bf0,2000,6,25250,6,0010,,800.0,22.2,Final
814e1189ccf3ad7e,2000,6,65102,6,0010,,800.0,3.0,Final
3cade3826fe04785,2000,6,60420,6,0010,,700.0,4.7,Final
ca87864c14b1f489,2000,6,55894,6,0010,,600.0,69.2,Final
ebe1e74df6ac8ef0,2000,6,49411,6,0010,,800.0,11.0,Final
bb25657e6d46e3fc,2000,6,60647,6,0010,,1100.0,7.9,Final
24bb4c16165a6dbb,2000,6,31159,6,0010,,500.0,1.5,Final
4d6ad6ba95d94557,2000,6,37688,6,0010,,1650.0,2.9,Final
a0908e2ec366ee35,2000,6,58021,6,1000,1.0,1250.0,4.8,Final
43747a61f913caa6,2000,6,14303,6,0010,,800.0,67.5,Final
1888aac48355b268,2000,6,97003,6,1000,1.0,1800.0,3.5,Final
5ea4e487b9a756da,2000,6,41265,6,0010,,700.0,47.7,Final
a9b0caa8f435d896,2000,6,50245,6,0010,,1000.0,648.6,Final
3ed0a3ad0cd6dc71,2000,6,75647,6,0010,,400.0,0.6,Final
9ac793f7b826bdab,2000,6,19354,6,0010,,1950.0,2.6,Final
6689fd9baebae55b,2000,6,32925,6,1630,1.63,500.0,6.6,Final
7f5e1e6b3f6115b2,2000,6,58757,6,1580,1.58,1500.0,1.1,Final
